PATIENT,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,COVID,DIED,CLASS
99238f8e-dd05-404a-bbed-e0063c41e77d,1916-01-10,1984-08-31,999-90-2276,S99956796,X30521847X,Mr.,Cristobal567,Osorio731,,,M,white,hispanic,M,Panama City  Panama  PA,762 Schmidt Gateway,Stow,Massachusetts,Middlesex County,,42.44215829240111,-71.49530302278859,1680489.4,25890.01,False,True,no_covid_died
70ec234d-cdc2-4b87-950b-90284d2fa335,1942-06-16,1993-06-06,999-37-1303,S99991150,X11716169X,Mr.,Jerome176,Herman763,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,226 Volkman Track Unit 61,Hopkinton,Massachusetts,Middlesex County,1748.0,42.22862367323966,-71.53691367944114,1047471.87,3195.4,False,True,no_covid_died
f3817929-ddc5-406e-89aa-459cb4698246,1936-02-18,2012-07-17,999-90-5959,S99972276,X43247873X,Mrs.,So684,Satterfield305,,Johnson679,M,white,hispanic,F,Newburyport  Massachusetts  US,558 Block Manor,Gloucester,Massachusetts,Essex County,1930.0,42.62220926271913,-70.6605439664693,254670.77,25460.77,False,True,no_covid_died
2ed1370b-0278-4446-80b1-3856d7927881,1941-03-01,2016-03-14,999-93-8767,S99984725,X32704493X,Mrs.,Richelle340,Moore224,,Hoppe518,M,white,hispanic,F,Braintree  Massachusetts  US,1037 Boyle Crossing,Brockton,Massachusetts,Plymouth County,2351.0,42.16292979520991,-70.95669065986407,288680.47,43046.35,False,True,no_covid_died
2e89c5fa-9150-4636-9466-c5a5417cb274,1964-04-21,1982-03-02,999-83-4285,S99916563,,,Bernita55,White193,,,,white,nonhispanic,F,West Springfield  Massachusetts  US,209 Upton Estate,Taunton,Massachusetts,Bristol County,,41.84621055239847,-71.04278076500384,389824.35,4770.99,False,True,no_covid_died
7475a593-3fa7-40c2-bbdf-86c68ebce67b,1918-10-20,2014-12-28,999-79-9102,S99923049,X85107656X,Ms.,Stacey209,Feest103,,,S,white,nonhispanic,F,Taunton  Massachusetts  US,884 Flatley Brook Apt 80,Waltham,Massachusetts,Middlesex County,2452.0,42.39466818494434,-71.27806978979672,1453446.91,45555.97,False,True,no_covid_died
69f09252-2aa2-4949-9e58-56561cb734b1,1925-08-06,1993-09-01,999-14-8924,S99976107,X82994572X,Mrs.,Shalanda398,Smitham825,,Ledner144,M,white,hispanic,F,Sharon  Massachusetts  US,533 Hackett Green Unit 46,Peabody,Massachusetts,Essex County,,42.56754567930562,-71.02143491518645,129844.33,9671.76,False,True,no_covid_died
b9202127-f177-48d1-aa66-347c67ee9804,1934-07-29,1994-10-09,999-69-4012,S99968672,X7242769X,Mr.,Alfredo17,Stiedemann542,,,M,black,nonhispanic,M,Everett  Massachusetts  US,1017 Bahringer Mill Unit 49,Worcester,Massachusetts,Worcester County,1605.0,42.2616863371134,-71.81179157281906,1502181.32,5915.999999999999,False,True,no_covid_died
85b48bba-d74a-4fbd-8849-3e965950eb56,1920-06-29,2011-01-08,999-32-5033,S99936329,X33711899X,Mr.,Jamie386,Stracke611,JD,,M,white,nonhispanic,M,Boston  Massachusetts  US,692 Roob Wynd Unit 83,Dighton,Massachusetts,Bristol County,,41.79825296766595,-71.18492789397942,1418521.78,13382.259999999998,False,True,no_covid_died
d22a55c1-11ae-410b-a619-12ca891cae1c,1922-04-30,2013-11-15,999-26-8326,S99934083,X70269246X,Mrs.,Sparkle906,Simonis280,,McCullough561,M,black,nonhispanic,F,Swampscott  Massachusetts  US,554 Shields Ville,Chatham,Massachusetts,Barnstable County,2633.0,41.70889313255641,-69.96776976080788,1556727.3,156860.8,False,True,no_covid_died
3a15b508-9fa8-4eff-839c-805cb44f4c9a,1935-11-22,2020-03-21,999-52-3944,S99979369,X80672337X,Mr.,Luke971,Hoppe518,,,M,white,nonhispanic,M,Shrewsbury  Massachusetts  US,892 Fay Park,Townsend,Massachusetts,Middlesex County,1469.0,42.65342152080774,-71.72749532507683,1785632.17,13870.88,False,True,no_covid_died
c77fe881-ab5f-4079-8dc8-4b5c99ab450c,1915-03-30,2006-08-08,999-10-9925,S99982761,X1046589X,Mrs.,Chin306,Denesik803,,O'Connell601,M,white,nonhispanic,F,Worcester  Massachusetts  US,968 Littel Rest Suite 81,Wellesley,Massachusetts,Norfolk County,,42.31789067445696,-71.28181566826946,1423567.01,24736.07,False,True,no_covid_died
2e7e45f1-07c0-4dfd-b103-f57593d10c60,1934-12-24,1996-07-18,999-96-6541,S99990600,X7259741X,Mr.,Luciano237,Gerhold939,,,M,white,nonhispanic,M,Stoughton  Massachusetts  US,761 Heidenreich Stravenue,Brookline,Massachusetts,Norfolk County,2467.0,42.374352785686135,-71.08812555525714,1341489.85,6331.879999999999,False,True,no_covid_died
10a33c59-c339-4af2-aa43-f20e4f7b7980,1910-01-16,2002-11-10,999-42-9488,S99976604,X37800700X,Mr.,Gregory545,Smitham825,,,M,white,nonhispanic,M,Pittsfield  Massachusetts  US,157 Legros Byway,Franklin,Massachusetts,Norfolk County,,42.08189181198966,-71.36683872671418,1506310.47,30163.34,False,True,no_covid_died
3ceae212-3aad-49cc-8810-619de7dc89ce,1921-04-12,1985-10-30,999-75-6317,S99921540,X50464103X,Mr.,Enrique929,Walter473,,,M,white,nonhispanic,M,St Petersburg  St Petersburg  RU,719 Carroll Forge Unit 71,Yarmouth,Massachusetts,Barnstable County,,41.70847563435849,-70.17694116587373,1329691.37,4719.36,False,True,no_covid_died
644c23ab-a127-45e6-8167-ce781647d7fa,1938-08-28,2010-01-03,999-95-4330,S99953555,X18954186X,Mrs.,Marisol435,Abshire638,,Bosco882,M,white,nonhispanic,F,Novosibirsk  Novosibirsk Oblast  RU,246 Vandervort Arcade Suite 59,Dartmouth,Massachusetts,Bristol County,,41.60725445758932,-70.99831543586886,1494633.08,14611.53,False,True,no_covid_died
c56a228b-6375-4cf1-8178-47159af29b2d,1910-11-30,1979-10-14,999-42-7649,S99920097,X58565194X,Mr.,Darrin898,Mosciski958,,,M,white,nonhispanic,M,Watertown  Massachusetts  US,891 Farrell Grove,Reading,Massachusetts,Middlesex County,1801.0,42.52583333653182,-71.08089878801299,1430775.74,21711.54,False,True,no_covid_died
cbac0349-9a52-4b97-9e7f-bb9072bb10a4,1965-01-23,2020-03-10,999-33-6097,S99974362,X22308778X,Mr.,Abraham100,Mayert710,,,M,white,nonhispanic,M,Boston  Massachusetts  US,587 Wiza Trace Apt 47,Ludlow,Massachusetts,Hampden County,,42.13790627507648,-72.50463611491989,1480683.41,5442.08,False,True,no_covid_died
99a99fb5-66e1-4b75-abdb-53197204bcfe,1922-01-25,2004-07-04,999-80-7686,S99997889,X61587611X,Mr.,Dane516,Wunsch504,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,457 Schiller Vista Apt 88,Grafton,Massachusetts,Worcester County,,42.21910837560387,-71.68478571182841,1696695.86,8249.98,False,True,no_covid_died
33ed3e05-cb44-45ec-a51c-f618f9588ef4,1969-11-04,2020-03-05,999-44-5936,S99997306,X6610958X,Mr.,Felipe97,Howe413,,,M,white,nonhispanic,M,Dennis  Massachusetts  US,775 Terry Common Unit 63,Wilmington,Massachusetts,Middlesex County,,42.584546886782775,-71.20269434394251,1223898.24,6042.799999999999,False,True,no_covid_died
8c6e59ac-c172-48f6-9e3d-5bdce628ddef,1945-12-26,2020-03-25,999-54-8538,S99949672,X24691278X,Ms.,Alex454,Herzog843,,,S,white,nonhispanic,F,Greenfield  Massachusetts  US,354 Fay Path,Newton,Massachusetts,Middlesex County,2461.0,42.30658834742108,-71.19406156502728,1642047.08,9025.04,False,True,no_covid_died
939ae324-4db7-4437-80e2-657f2ee145c6,1936-05-09,1987-12-12,999-53-2678,S99928860,X21642059X,Mr.,Pasquale620,Schimmel440,,,M,white,nonhispanic,M,Douglas  Massachusetts  US,614 Kihn Path,Methuen,Massachusetts,Essex County,1844.0,42.73965339652559,-71.14846150630557,1307331.0,4979.52,False,True,no_covid_died
7a414c49-aca6-42d6-8e39-8467d3024b5d,1962-02-20,2020-03-22,999-88-7011,S99969785,X49465060X,Mr.,Jackie93,Bashirian201,,,M,white,nonhispanic,M,Granby  Massachusetts  US,252 Hane Estate,Lynn,Massachusetts,Essex County,,42.48820509565601,-70.94613459313307,178624.46,12553.48,False,True,no_covid_died
9dda0437-5050-4010-ae93-19f614dbb743,1933-10-21,2015-11-08,999-42-9321,S99925564,X231318X,Mr.,Isiah14,Upton904,,,M,white,nonhispanic,M,Andover  Massachusetts  US,387 Rutherford Trailer Suite 2,Boston,Massachusetts,Suffolk County,2163.0,42.26739592038546,-71.04235094152304,1386930.92,7486.37,False,True,no_covid_died
da9f5f12-ddcc-4468-ab82-a2686be9e529,1936-01-30,2020-03-08,999-72-9342,S99933063,X55873313X,Mr.,Felix524,Ortiz186,,,M,white,nonhispanic,M,Lawrence  Massachusetts  US,750 Rohan Orchard Unit 42,Groveland,Massachusetts,Essex County,,42.77203187040163,-71.05501510933468,1627950.07,8110.959999999999,False,True,no_covid_died
7dbfc4d2-0745-46d0-b5f0-cbac14335210,1938-08-28,1980-11-30,999-67-4494,S99936756,X12531471X,Mr.,Hobert364,Cremin516,,,S,white,nonhispanic,M,Lynnfield  Massachusetts  US,635 Vandervort Skyway,Cambridge,Massachusetts,Middlesex County,2142.0,42.38050959938858,-71.12660374255846,868016.96,2507.16,False,True,no_covid_died
cccbf053-5a6f-40cb-ae79-39bdb5dab5bf,1910-01-16,2003-12-10,999-51-4813,S99977640,X20051529X,Mr.,Moses679,Mohr916,,,M,white,nonhispanic,M,Orange  Massachusetts  US,764 Marquardt Flat Apt 35,Franklin,Massachusetts,Norfolk County,,42.03900619100527,-71.3843438712751,1815394.65,11656.01,False,True,no_covid_died
